,a,b,c
下午,20,136,0.147058824
柴油机,20,90,0.222222222
房价,20,129,0.15503876
东洲,15,108,0.138888889
603999,15,282,0.053191489
第七期,15,80,0.1875
603289,15,140,0.107142857
博士后,10,74,0.135135135
向阳,10,63,0.158730159
德勤华,10,76,0.131578947
蔡宁,5,19,0.263157895
所得,5,20,0.25
寿邹,5,32,0.15625
新一代,5,34,0.147058824
测控,5,40,0.125
煤焦油,5,20,0.25
一站,5,11,0.454545455
璟,5,27,0.185185185
广元,5,29,0.172413793
李明,5,24,0.208333333
参考价,5,35,0.142857143
交易平台,5,36,0.138888889
摩,5,27,0.185185185
四十五,5,39,0.128205128
会计制度,5,37,0.135135135
人力,5,20,0.25
配合,5,87,0.057471264
西班牙,5,35,0.142857143
王蕊,5,26,0.192307692
君厚,5,31,0.161290323
以未,5,26,0.192307692
9%,5,23,0.217391304
培育,5,33,0.151515152
拟任,5,30,0.166666667
片剂,5,44,0.113636364
吉林市,5,49,0.102040816
线缆,5,48,0.104166667
基石,5,36,0.138888889
乾,5,33,0.151515152
泉州市,5,34,0.147058824
HOLDING,5,72,0.069444444
直播,5,28,0.178571429
中勤,5,51,0.098039216
三盛,5,24,0.208333333
原始,5,40,0.125
15000,5,21,0.238095238
欧派,27,502,0.053784861
键桥,72,1338,0.053811659
600186,35,650,0.053846154
炬,35,648,0.054012346
合理性,92,1703,0.054022314
捷捷,49,259,0.189189189
600422,50,924,0.054112554
排查,39,233,0.167381974
600387,31,572,0.054195804
赛轮,52,958,0.054279749
吉电,82,1509,0.054340623
安排,60,1104,0.054347826
钾肥,53,426,0.124413146
坚瑞沃,53,430,0.123255814
600197,48,294,0.163265306
600620,48,385,0.124675325
科研,24,148,0.162162162
融钰,24,415,0.057831325
600690,36,661,0.054462935
2007,4720,#N/A,#N/A
瑞德,73,1340,0.054477612
性,184,3373,0.054550845
暂行办法,19,130,0.146153846
假设,52,953,0.054564533
复牌,847,15517,0.054585294
欣泰,38,694,0.054755043
601777,50,913,0.054764513
住宅,14,87,0.16091954
温氏,29,529,0.054820416
当家,30,547,0.054844607
有效性,130,2368,0.054898649
辉丰,52,946,0.054968288
汉鼎宇佑,34,618,0.055016181
海航,131,2381,0.0550189
东江,73,1326,0.05505279
盛新材,54,980,0.055102041
600896,42,762,0.05511811
七匹狼,31,562,0.055160142
603825,23,146,0.157534247
吉祥,47,852,0.055164319
惠天,49,888,0.05518018
书,716,12966,0.055221348
老百姓,33,597,0.055276382
603017,29,524,0.055343511
常林,56,1011,0.055390702
款项,63,470,0.134042553
万力,27,297,0.090909091
传闻,18,142,0.126760563
事件,18,128,0.140625
杭州市,9,66,0.136363636
天通,9,73,0.123287671
方达,9,96,0.09375
瑞信,49,350,0.14
转制,62,382,0.162303665
公允,61,1101,0.055404178
新大洲,70,1263,0.055423595
中银,78,1406,0.055476529
603595,22,123,0.178861789
LLC,22,157,0.140127389
蓝英,42,757,0.055482166
603766,43,773,0.055627426
出版,118,2118,0.055712937
飞亚达,54,969,0.055727554
600597,57,483,0.118012422
类,55,986,0.055780933
锐奇,47,842,0.055819477
600273,47,842,0.055819477
敏感,48,279,0.172043011
云南旅游,60,1073,0.055917987
正业,44,786,0.055979644
600428,65,490,0.132653061
板块,13,92,0.141304348
603042,13,171,0.076023392
账,13,93,0.139784946
影视文化,13,130,0.1
白猫,13,214,0.060747664
华脉,13,189,0.068783069
地上,13,88,0.147727273
预估,13,82,0.158536585
高升,33,589,0.056027165
600150,43,441,0.097505669
景谷林业,60,322,0.186335404
永兴,30,496,0.060483871
600256,46,820,0.056097561
600462,45,802,0.056109726
风力,34,243,0.139917695
赣州,17,144,0.118055556
网址,17,125,0.136
硅,17,112,0.151785714
性质,17,104,0.163461538
600026,39,695,0.056115108
隧道,43,766,0.05613577
科隆,30,534,0.056179775
煤炭,30,533,0.056285178
新型,38,254,0.149606299
宝胜,57,1011,0.056379822
兴民,37,656,0.056402439
爱迪尔,45,794,0.056675063
600306,38,670,0.056716418
滨海,57,1004,0.056772908
坚瑞,62,1090,0.056880734
美达,102,1790,0.05698324
崇达,54,299,0.180602007
601800,39,684,0.057017544
专业,72,1262,0.057052298
吉炭,33,131,0.251908397
卫国,33,319,0.103448276
17,175,3053,0.057320668
600088,37,345,0.107246377
测,43,749,0.05740988
微电子,41,286,0.143356643
航电,44,764,0.057591623
张股,49,415,0.118072289
600149,49,452,0.10840708
延期,673,11679,0.057624797
林州,74,1284,0.057632399
海天,35,607,0.057660626
化机,30,520,0.057692308
600536,88,455,0.193406593
600145,35,606,0.057755776
汉缆,53,917,0.057797165
奥特,60,1038,0.057803468
合同书,32,206,0.155339806
分类,24,156,0.153846154
联网络,20,177,0.11299435
600854,20,200,0.1
金融信息,20,122,0.163934426
15%,16,124,0.129032258
元隆雅图,16,163,0.098159509
刊发,16,78,0.205128205
高琦,12,47,0.255319149
雅安,12,90,0.133333333
催化剂,12,54,0.222222222
市场监管,8,80,0.1
资金来源,8,71,0.112676056
开放日,8,44,0.181818182
种植,8,36,0.222222222
建春,8,34,0.235294118
维修,8,42,0.19047619
年初,8,42,0.19047619
分级,8,56,0.142857143
尚公,8,84,0.095238095
张涛,4,25,0.16
栾川,4,52,0.076923077
姚禄仕,4,24,0.166666667
开门,4,9,0.444444444
环保型,4,20,0.2
徐波,4,28,0.142857143
郑欢,4,28,0.142857143
号楼,4,36,0.111111111
重庆力帆,4,43,0.093023256
银联,4,25,0.16
谦,4,24,0.166666667
民用飞机,4,14,0.285714286
广州日报,4,26,0.153846154
煤制,4,26,0.153846154
稀释,4,27,0.148148148
冯东,4,18,0.222222222
厅,4,32,0.125
旅游区,4,22,0.181818182
缓释片,4,22,0.181818182
董云庭,4,19,0.210526316
梁杰,4,13,0.307692308
团结,4,15,0.266666667
成才,4,26,0.153846154
兰溪市,4,17,0.235294118
电子器件,4,21,0.19047619
发光,4,23,0.173913043
行为准则,4,15,0.266666667
湿地,4,33,0.121212121
宜都,4,18,0.222222222
畅联,4,112,0.035714286
臣,4,19,0.210526316
五月份,4,17,0.235294118
眉山,4,21,0.19047619
施平,4,22,0.181818182
金融工具,4,23,0.173913043
长江三峡,4,13,0.307692308
体育产业,4,27,0.148148148
补助款,4,31,0.129032258
国防科技,4,27,0.148148148
轮毂,4,37,0.108108108
吴向,4,28,0.142857143
603648,4,94,0.042553191
卫安,4,23,0.173913043
52%,4,37,0.108108108
小贷,4,20,0.2
中国长城资产管理公司,4,38,0.105263158
潭,4,35,0.114285714
決議,4,19,0.210526316
荆州,4,44,0.090909091
蔡,4,36,0.111111111
王月,4,24,0.166666667
兵团,4,23,0.173913043
莱州市,4,13,0.307692308
首饰,4,18,0.222222222
黄庆平,4,12,0.333333333
屋顶,4,37,0.108108108
适用於,4,22,0.181818182
总体,4,35,0.114285714
扣除,4,25,0.16
原限售,4,21,0.19047619
先,4,52,0.076923077
新签,4,27,0.148148148
棚户区,4,29,0.137931034
宜宾市,4,40,0.1
耀莱,4,17,0.235294118
调低,4,17,0.235294118
东旭成,4,17,0.235294118
兖州,4,27,0.148148148
汤欣,4,15,0.266666667
双箭,44,761,0.05781866
弘高,31,536,0.057835821
钢圈,38,657,0.057838661
泰尔,54,933,0.057877814
上市,3600,62174,0.057902017
锻压,56,967,0.057911065
中技,39,673,0.05794948
蓝科,51,460,0.110869565
603901,47,424,0.110849057
劲拓,90,430,0.209302326
景兴,61,1050,0.058095238
天晟新材,67,1153,0.05810928
宜化,93,1599,0.058161351
华控,43,739,0.058186739
24,167,2870,0.058188153
华联,194,3334,0.058188362
600223,35,372,0.094086022
钼,31,532,0.058270677
驰,81,1390,0.058273381
农化,31,165,0.187878788
招商局,27,247,0.109311741
四,133,2281,0.05830776
整合,46,288,0.159722222
全额,23,160,0.14375
玉源,23,116,0.198275862
惠州,42,326,0.128834356
银海,57,416,0.137019231
连续,19,419,0.045346062
独,91,492,0.18495935
长源,64,1097,0.05834093
川金诺,30,287,0.104529617
作废,15,98,0.153061224
司太立,15,375,0.04
华统,71,309,0.229773463
600461,34,582,0.058419244
轮胎,80,1369,0.058436815
600425,56,459,0.122004357
安通,41,246,0.166666667
600056,39,666,0.058558559
永创,52,472,0.110169492
成为,26,176,0.147727273
曲酒,26,164,0.158536585
600406,31,529,0.058601134
吉,33,562,0.058718861
新药,74,454,0.162995595
规定,74,1260,0.058730159
600111,48,389,0.123393316
601311,42,715,0.058741259
桐,59,363,0.162534435
阁,59,366,0.161202186
构成,43,731,0.058823529
申通,42,714,0.058823529
矿机,55,934,0.05888651
朗源,40,679,0.058910162
简历,44,318,0.13836478
暂行规定,11,421,0.026128266
效益,11,89,0.123595506
1.5,11,73,0.150684932
观察,11,119,0.092436975
旭升,11,170,0.064705882
车灯,11,59,0.186440678
永盛,11,68,0.161764706
肇庆,11,95,0.115789474
矿产,11,63,0.174603175
东日,47,797,0.058971142
中小板,39,661,0.059001513
601375,29,349,0.083094556
锦江,75,1271,0.059008655
601118,33,559,0.059033989
中电投,36,234,0.153846154
查封,18,134,0.134328358
冀东,79,479,0.164926931
601518,61,432,0.141203704
超日,52,880,0.059090909
通宝,49,829,0.059107358
筑信,25,174,0.143678161
签约,25,158,0.158227848
森工,66,1116,0.059139785
贵糖,54,913,0.059145674
星徽,36,608,0.059210526
贵研,44,743,0.059219381
新澳,32,436,0.073394495
600116,78,486,0.160493827
600580,34,574,0.059233449
软控,75,1265,0.059288538
非标准,44,742,0.059299191
供应链,43,724,0.059392265
本次,617,10375,0.05946988
600429,32,538,0.059479554
18,175,2939,0.059544063
600073,32,537,0.059590317
600551,31,518,0.05984556
水业,57,952,0.05987395
步森,65,1085,0.059907834
600610,51,851,0.059929495
600209,37,617,0.059967585
600883,42,280,0.15
雄,21,167,0.125748503
坊,21,109,0.19266055
主,14,119,0.117647059
陈冲,7,39,0.179487179
自行车,7,46,0.152173913
保兑,7,37,0.189189189
计,7,58,0.120689655
套,7,57,0.122807018
原因,7,90,0.077777778
中国移动,7,57,0.122807018
概览,7,34,0.205882353
海门,7,34,0.205882353
流域,7,45,0.155555556
南方电网,7,49,0.142857143
永鑫,7,24,0.291666667
性保函,7,36,0.194444444
非,243,4049,0.060014818
江海,63,1049,0.060057197
广深铁路,33,549,0.06010929
高速公路,95,1579,0.060164661
华映,84,1395,0.060215054
永大,40,664,0.060240964
逾期,52,389,0.133676093
适用,38,217,0.175115207
600318,39,647,0.060278207
21,172,2853,0.060287417
星期六,56,928,0.060344828
铂业,44,729,0.060356653
600070,65,446,0.14573991
600279,65,371,0.175202156
方法,55,911,0.060373216
九强,31,513,0.06042885
南山,35,579,0.06044905
恒泰,39,645,0.060465116
深南电,65,1075,0.060465116
雪,81,387,0.209302326
联明,64,466,0.137339056
一年,41,677,0.0605613
600039,37,610,0.060655738
暂时性,47,313,0.150159744
603883,31,511,0.060665362
远兴,87,1434,0.060669456
奥联,57,221,0.257918552
泰胜,56,922,0.060737527
23,180,2958,0.060851927
嘉化,42,690,0.060869565
巴安,63,1033,0.060987415
600658,50,408,0.12254902
金矿,30,212,0.141509434
最高额,30,218,0.137614679
之二,30,396,0.075757576
603305,10,155,0.064516129
腾新,10,157,0.063694268
拟定,10,64,0.15625
603043,10,121,0.082644628
技术人员,10,53,0.188679245
计票,10,82,0.12195122
秦皇岛,10,115,0.086956522
建科院,10,181,0.055248619
600754,33,541,0.060998152
张家界,44,721,0.061026352
远程,63,455,0.138461538
600792,42,688,0.061046512
600021,36,589,0.061120543
600623,43,426,0.100938967
安记,43,278,0.154676259
宝鼎,52,850,0.061176471
新任,33,236,0.139830508
克明,64,1046,0.061185468
伟星,101,1648,0.061286408
华茂,45,734,0.061307902
600770,46,447,0.102908277
面业,64,1043,0.061361457
二零一,52,846,0.061465721
思维,36,436,0.082568807
600071,31,504,0.061507937
盛路,48,780,0.061538462
600267,54,877,0.061573546
中山,87,1410,0.061702128
开创,44,713,0.06171108
星光,85,1376,0.061773256
星,38,615,0.061788618
600105,44,712,0.061797753
40%,39,291,0.134020619
详查,13,96,0.135416667
进口,13,104,0.125
三十九,13,73,0.178082192
绿化,13,94,0.138297872
产量,13,93,0.139784946
安庆,13,69,0.188405797
签定,13,113,0.115044248
603558,68,500,0.136
天音,77,1245,0.06184739
大洋,89,1439,0.061848506
列入,42,315,0.133333333
总部,29,189,0.153439153
会计报表,29,223,0.130044843
600530,29,431,0.067285383
进展,6855,110799,0.061868789
坤,16,107,0.14953271
〇,16,129,0.124031008
再生,16,134,0.119402985
澳,16,144,0.111111111
600239,68,1099,0.061874431
新时,79,1275,0.061960784
宝光,46,742,0.061994609
提交,200,3224,0.062034739
物,19,151,0.125827815
管理部,19,130,0.146153846
检验,19,129,0.147286822
自控,97,1563,0.062060141
600634,62,999,0.062062062
黔,46,741,0.062078273
600778,38,612,0.062091503
昆山,41,272,0.150735294
集泰,22,132,0.166666667
601128,22,181,0.121546961
三孚,22,161,0.136645963
雅本,57,917,0.062159215
天富,93,1496,0.062165775
并购,392,6300,0.062222222
药房,38,610,0.062295082
至纯,28,292,0.095890411
603690,28,290,0.096551724
29,174,2793,0.062298604
600483,40,642,0.062305296
25,178,2854,0.062368605
博威,45,721,0.062413315
601058,47,753,0.062416999
天舟,63,1009,0.062438057
纺,37,310,0.119354839
保密制度,41,656,0.0625
泰晶,43,267,0.161048689
凯普,43,244,0.176229508
20,194,3100,0.062580645
众信,68,1085,0.062672811
三十一日,62,989,0.062689585
丽江,68,1084,0.062730627
600535,33,526,0.062737643
正泰,56,892,0.062780269
王府井,51,810,0.062962963
集运,67,1064,0.062969925
骆驼,60,952,0.06302521
19,171,2711,0.063076356
好莱客,34,539,0.063079777
大唐,119,1884,0.063163482
一二年,46,728,0.063186813
缆,57,902,0.063192905
600578,39,617,0.063209076
603128,37,585,0.063247863
瑞尔,73,1153,0.063313096
603088,51,259,0.196911197
603977,30,311,0.096463023
钢吉炭,30,300,0.1
能源开发,27,218,0.123853211
欧浦,24,303,0.079207921
宣,24,182,0.131868132
基业,18,139,0.129496403
大显,18,126,0.142857143
兆维,18,161,0.111801242
建造,15,86,0.174418605
清华,15,135,0.111111111
琼花,15,317,0.047318612
巴西,12,78,0.153846154
科信,12,243,0.049382716
塑胶,12,94,0.127659574
汪,12,69,0.173913043
2000,12,75,0.16
晶,9,122,0.073770492
英文,9,61,0.147540984
603659,9,160,0.05625
制,9,59,0.152542373
稽查,9,80,0.1125
潘,9,50,0.18
中华人民共和国,9,65,0.138461538
针对,9,65,0.138461538
整理,9,84,0.107142857
崔军,6,25,0.24
甲级,6,46,0.130434783
高清,6,37,0.162162162
浩华,6,27,0.222222222
辅料,6,46,0.130434783
做出,6,54,0.111111111
至理,6,46,0.130434783
事业,6,48,0.125
淀粉,6,25,0.24
电动汽车,6,82,0.073170732
铜期货,6,38,0.157894737
中国科学院,6,69,0.086956522
深南,6,68,0.088235294
助剂,6,24,0.25
泽,6,56,0.107142857
丁,6,38,0.157894737
拍卖公告,6,54,0.111111111
中昌大,6,53,0.113207547
周友,6,28,0.214285714
决算,3,27,0.111111111
岳成,3,16,0.1875
陈丽花,3,21,0.142857143
虹彩,3,26,0.115384615
保温,3,22,0.136363636
居,3,21,0.142857143
融兴,3,13,0.230769231
拆,3,7,0.428571429
刘少波,3,15,0.2
千千,3,7,0.428571429
电信业务,3,30,0.1
舒敏,3,12,0.25
中国船舶重工集团公司,3,26,0.115384615
陈贤,3,13,0.230769231
Y1,3,14,0.214285714
中弘卓业,3,18,0.166666667
酯,3,24,0.125
复旦大学,3,14,0.214285714
酷爱,3,18,0.166666667
碧辟,3,17,0.176470588
江泥,3,33,0.090909091
中债,3,16,0.1875
思,3,17,0.176470588
飞虹,3,7,0.428571429
盛京,3,21,0.142857143
科尔,3,10,0.3
杨先明,3,21,0.142857143
吴国,3,11,0.272727273
食品药品,3,26,0.115384615
蚌埠市,3,12,0.25
四项,3,17,0.176470588
氧化锆,3,17,0.176470588
田昆,3,25,0.12
忻州,3,22,0.136363636
肥料,3,20,0.15
松原市,3,10,0.3
易幻,3,18,0.166666667
收支,3,21,0.142857143
程信,3,10,0.3
支晓强,3,17,0.176470588
乙烯,3,19,0.157894737
王秋潮,3,18,0.166666667
煤炭企业,3,21,0.142857143
百度,3,23,0.130434783
回转,3,24,0.125
沪士,3,15,0.2
智航,3,19,0.157894737
AG,3,31,0.096774194
宽翼,3,29,0.103448276
战略决策,3,40,0.075
红豆集团,3,16,0.1875
添加剂,3,19,0.157894737
吴博达,3,13,0.230769231
候选,3,22,0.136363636
氯,3,15,0.2
王爱群,3,13,0.230769231
铃,3,11,0.272727273
废弃,3,17,0.176470588
主管部门,3,20,0.15
中欧,3,15,0.2
优先权,3,12,0.25
中科院,3,19,0.157894737
34,3,26,0.115384615
电能,3,23,0.130434783
金兴,3,10,0.3
后个,3,11,0.272727273
零售,3,31,0.096774194
安联,3,14,0.214285714
投料,3,20,0.15
厦门航空,3,27,0.111111111
株洲市,3,26,0.115384615
姚忠胜,3,12,0.25
吴晖,3,9,0.333333333
丛培国,3,13,0.230769231
升,3,50,0.06
and,3,26,0.115384615
盛德,3,16,0.1875
名录,3,17,0.176470588
塑料机械,3,51,0.058823529
时尚服饰,3,19,0.157894737
陈银华,3,12,0.25
工业局,3,22,0.136363636
痰,3,12,0.25
蒋衡杰,3,12,0.25
水厂,3,39,0.076923077
管理系统,3,24,0.125
Announcement,3,14,0.214285714
一致性,3,22,0.136363636
刘骏民,3,13,0.230769231
送转,3,23,0.130434783
李罗力,3,15,0.2
迪庆,3,8,0.375
雅视,3,28,0.107142857
王永海,3,16,0.1875
宋廷锋,3,14,0.214285714
天启,3,26,0.115384615
中辰,3,15,0.2
预付,3,27,0.111111111
亚娜,3,14,0.214285714
陈共荣,3,14,0.214285714
西青,3,11,0.272727273
王再文,3,20,0.15
袁淳,3,14,0.214285714
1.2,3,20,0.15
城市污水,3,15,0.2
货车,3,17,0.176470588
肖向锋,3,17,0.176470588
常晓波,3,21,0.142857143
张惠强,3,15,0.2
记账,3,16,0.1875
本位币,3,16,0.1875
临海,3,19,0.157894737
王欣新,3,16,0.1875
群生,3,8,0.375
归集,3,17,0.176470588
流动,3,12,0.25
非晶,3,26,0.115384615
第八十七,3,15,0.2
钢制品,3,13,0.230769231
魏,3,25,0.12
前海,3,36,0.083333333
锡林,3,13,0.230769231
唐红,3,14,0.214285714
燊,3,27,0.111111111
国际商贸,3,13,0.230769231
李颖江,3,11,0.272727273
路段,3,14,0.214285714
客厅,3,15,0.2
需求,3,18,0.166666667
300MW,3,23,0.130434783
通用汽车,3,19,0.157894737
中孚债,3,37,0.081081081
汤金木,3,27,0.111111111
大卫,3,14,0.214285714
鼎亮,3,22,0.136363636
沈田丰,3,20,0.15
上海交通大学,3,17,0.176470588
OTT,3,16,0.1875
潮州市,3,22,0.136363636
制盖,3,13,0.230769231
34,3,26,0.115384615
出席会议,3,12,0.25
黄健雄,3,17,0.176470588
350,3,12,0.25
兴全,3,22,0.136363636
当前,3,11,0.272727273
報表,3,14,0.214285714
石本仁,3,14,0.214285714
蒋敏,3,18,0.166666667
未摊,3,42,0.071428571
太平洋,105,1658,0.063329312
600747,41,647,0.063369397
600165,53,836,0.063397129
嘉应,49,772,0.063471503
信质,49,772,0.063471503
普邦,70,1101,0.063578565
内,173,2719,0.063626333
华邦颖泰,35,550,0.063636364
金健,56,880,0.063636364
期间,183,2874,0.063674322
云内,75,1177,0.063721325
600125,53,229,0.231441048
之附,50,473,0.105708245
厚普,47,470,0.1
水井坊,88,436,0.201834862
孚日,62,972,0.063786008
600148,41,348,0.117816092
华信,61,956,0.063807531
解决,38,283,0.134275618
603738,38,242,0.157024793
603223,38,329,0.11550152
中青旅,44,689,0.063860668
600326,64,428,0.14953271
2015,16935,3,5645
分立,26,232,0.112068966
永太,77,1204,0.063953488
600639,49,426,0.115023474
600676,49,418,0.11722488
利息收入,23,144,0.159722222
法人股,23,167,0.137724551
合作意向,23,183,0.12568306
成功,46,719,0.063977747
中润,62,969,0.063983488
爱众,88,1375,0.064
山西省,20,142,0.14084507
净资产,43,671,0.064083458
全体,58,904,0.064159292
天宏,37,322,0.114906832
27,194,3023,0.064174661
通用,92,1433,0.064200977
600353,34,322,0.105590062
办公室,17,126,0.134920635
603685,17,92,0.184782609
医保,17,127,0.133858268
九届,64,996,0.064257028
京山,70,1089,0.064279155
中瑞思创,38,591,0.0642978
防雷,40,621,0.064412238
600666,61,947,0.064413939
综超,50,776,0.06443299
哲,79,1226,0.064437194
广安,87,1350,0.064444444
法尔,40,620,0.064516129
600828,58,897,0.064659978
维业,28,264,0.106060606
603520,14,333,0.042042042
天衡,14,101,0.138613861
台基,58,897,0.064659978
603678,53,468,0.113247863
丝,121,1871,0.064671299
一重,39,603,0.064676617
三夫,39,450,0.086666667
投诉,50,354,0.141242938
迁址,50,282,0.177304965
林,25,225,0.111111111
600511,37,572,0.064685315
东盛,47,239,0.19665272
600997,35,541,0.064695009
西,77,1190,0.064705882
600500,66,460,0.143478261
金明,56,865,0.064739884
建新,102,1575,0.064761905
焦煤,33,174,0.189655172
基金会,11,90,0.122222222
核数师,11,73,0.150684932
韩,11,78,0.141025641
4000,11,79,0.139240506
市北,49,756,0.064814815
天利,43,663,0.064856712
603366,34,524,0.064885496
中光,40,616,0.064935065
洲,30,244,0.12295082
青岛海尔,68,1047,0.064947469
富,47,722,0.065096953
承诺函,313,4808,0.065099834
福州,38,287,0.132404181
采访,19,112,0.169642857
嘉陵,19,344,0.055232558
天邑,19,120,0.158333333
601952,19,107,0.177570093
康旗,19,206,0.09223301
二零,50,768,0.065104167
委,59,906,0.065121413
600403,46,379,0.121372032
中汇,46,405,0.113580247
603726,27,210,0.128571429
确认,224,3438,0.065154159
轻机,70,1073,0.065237651
精诚,67,1027,0.065238559
600074,64,981,0.065239551
置入,43,372,0.115591398
海普瑞,81,1240,0.065322581
德联,46,704,0.065340909
浩云,46,704,0.065340909
潜能,54,826,0.065375303
京威,54,826,0.065375303
户外,40,469,0.085287846
603696,40,253,0.158102767
微光,24,321,0.074766355
明天科技,24,191,0.12565445
一号,24,115,0.208695652
炒地,16,121,0.132231405
药用,16,128,0.125
名,16,125,0.128
葡萄酒,8,100,0.08
压缩机,8,89,0.08988764
为民,8,35,0.228571429
青海省,8,77,0.103896104
投资额,8,55,0.145454545
深天健,8,86,0.093023256
希格玛,8,52,0.153846154
大学,8,73,0.109589041
603535,8,88,0.090909091
皇马,8,113,0.07079646
金浦,43,657,0.065449011
得利,51,779,0.065468549
维维,60,915,0.06557377
600743,38,579,0.065630397
26,199,3032,0.065633245
普爱思,36,547,0.065813528
永鼎,67,1018,0.065815324
600137,45,335,0.134328358
14,235,3569,0.065844774
云煤,55,835,0.065868263
波导,71,441,0.160997732
友邦,41,622,0.065916399
603938,21,160,0.13125
垃圾焚烧,21,147,0.142857143
苏垦,21,124,0.169354839
绿,47,713,0.065918654
齐峰,50,758,0.065963061
楚天,112,1697,0.065998821
金利,122,1848,0.066017316
600652,35,530,0.066037736
600707,35,530,0.066037736
通程,42,636,0.066037736
核电,57,863,0.066048667
港务,70,1059,0.066100094
拜克,64,968,0.066115702
清新,62,937,0.066168623
人拟,26,243,0.106995885
三亚,13,120,0.108333333
储运,13,100,0.13
长效机制,13,74,0.175675676
广百,57,861,0.066202091
上海证券交易所,386,5828,0.066231984
蒙发利,49,739,0.066305819
华通,103,1552,0.066365979
兆,149,2245,0.06636971
洪涛,75,1130,0.066371681
及行权,54,337,0.160237389
供应商,36,249,0.144578313
603225,18,223,0.080717489
万泽,82,1235,0.066396761
哈高科,37,557,0.066427289
君,64,411,0.155717762
600368,40,602,0.066445183
物产,104,1565,0.066453674
同益,56,320,0.175
朗迪,28,231,0.121212121
粤高速,70,1053,0.066476733
快乐,47,707,0.066478076
东南,151,2269,0.066549141
广电,262,3935,0.066581957
南通,140,2100,0.066666667
仙,54,810,0.066666667
600421,38,337,0.112759644
民百,56,839,0.066746126
迅,53,794,0.06675063
公用,138,2067,0.066763425
高速,438,6556,0.06680903
15,250,3742,0.066809193
琚,52,778,0.066838046
油气,73,1092,0.066849817
科陆,103,1540,0.066883117
中原,313,4678,0.066908935
洪城,91,1360,0.066911765
汉商,34,508,0.066929134
金鸿,44,657,0.066971081
升华,64,954,0.067085954
吊顶,41,611,0.06710311
钛业,50,744,0.067204301
娱乐,165,2453,0.067264574
宏源,37,550,0.067272727
16,239,3551,0.067304985
太龙,75,1114,0.067324955
邦,153,2271,0.067371202
600649,40,593,0.067453626
聚隆,50,452,0.110619469
双环,67,993,0.067472306
履行职责,40,266,0.15037594
基础,100,1478,0.067658999
应,35,267,0.131086142
工程设计,20,121,0.165289256
603444,20,214,0.093457944
结案,15,102,0.147058824
读者,15,325,0.046153846
瑛,15,156,0.096153846
锂电池,15,90,0.166666667
璞,10,195,0.051282051
进步奖,10,65,0.153846154
捷利,10,83,0.120481928
信君,10,81,0.12345679
聚酰亚胺,10,52,0.192307692
工业用地,10,67,0.149253731
大酒店,10,108,0.092592593
废弃物,5,31,0.161290323
财政厅,5,41,0.12195122
银行存款,5,35,0.142857143
电力集团,5,76,0.065789474
昭通,5,41,0.12195122
柳木,5,22,0.227272727
活跃,5,35,0.142857143
同创,5,41,0.12195122
高精度,5,25,0.2
班子,5,37,0.135135135
华盖,5,22,0.227272727
自助,5,28,0.178571429
医疗机构,5,54,0.092592593
第四条,5,293,0.017064846
扣件,5,60,0.083333333
送股,5,29,0.172413793
独资,5,30,0.166666667
清欠,5,39,0.128205128
散货,5,36,0.138888889
汪祥耀,5,36,0.138888889
陈传明,5,21,0.238095238
股份制,5,67,0.074626866
未获,5,54,0.092592593
懋德,5,87,0.057471264
产品认证,5,34,0.147058824
I,5,48,0.104166667
沈成德,5,16,0.3125
齿轮,5,36,0.138888889
调整机制,5,28,0.178571429
造成,5,39,0.128205128
国有产权,5,48,0.104166667
荷兰,5,47,0.106382979
余应敏,5,36,0.138888889
壹号,5,43,0.11627907
鹤鸣,5,26,0.192307692
10000,5,33,0.151515152
转贷,5,34,0.147058824
万信,5,54,0.092592593
之五,5,138,0.036231884
商用车,5,24,0.208333333
清单,5,35,0.142857143
600572,58,857,0.067677946
陆家嘴,40,591,0.067681895
广西,93,1374,0.06768559
600069,54,797,0.067754078
九百,47,444,0.105855856
603339,42,263,0.159695817
600104,37,402,0.092039801
德美,76,1121,0.06779661
普林,51,752,0.067819149
600079,68,1002,0.067864271
600583,32,368,0.086956522
601991,54,795,0.067924528
603369,81,469,0.172707889
兴森,64,942,0.067940552
恒立,108,1589,0.067967275
水产,67,985,0.068020305
深赤湾,73,1073,0.068033551
义乌,22,158,0.139240506
友利,61,896,0.068080357
梦洁家纺,61,472,0.129237288
雅致,50,734,0.068119891
夏利,58,851,0.068155112
600726,51,391,0.130434783
承包合同,34,284,0.11971831
资质证书,17,131,0.129770992
联席,17,107,0.158878505
牧业,165,2420,0.068181818
未,232,3402,0.068195179
退市,163,2390,0.068200837
宝龙,46,303,0.151815182
四川双马,87,1275,0.068235294
购,48,703,0.068278805
600724,29,273,0.106227106
三佳,29,210,0.138095238
费用,41,278,0.147482014
603188,41,480,0.085416667
通宇,41,400,0.1025
华自,37,541,0.068391867
30,330,4823,0.068422144
大连港,75,1096,0.068430657
28,211,3082,0.068462038
600108,45,657,0.068493151
不予,24,174,0.137931034
上年,24,161,0.149068323
案,12,142,0.084507042
广播电视,12,141,0.085106383
汶川,12,83,0.144578313
603978,12,132,0.090909091
600086,52,759,0.068511199
603179,31,195,0.158974359
宝石,31,187,0.165775401
祥龙,41,598,0.068561873
600139,57,830,0.068674699
债权债务,19,163,0.116564417
黑龙江省,19,163,0.116564417
徐,19,166,0.114457831
钢铁集团,19,208,0.091346154
南纸,19,121,0.157024793
